fullname,lfromadd,ltoadd,rfromadd,rtoadd
W Fairy Chasm Rd,155,399,282,398
W Ravine Ln,1001,1099,1000,1098
N Port Ct,9298,9222,9201,9299
W Manor Cir,401,599,400,598
Briarwood Ct,9198,9100,9101,9199
W Brown Deer Rd,,,400,498
N Fairway Dr,9401,9499,9400,9498
N Regent Ct,9401,9499,9400,9498
N Broadmoor Rd,9201,9249,9200,9250
N Fairway Dr,,,9240,9258
N Regent Rd,9401,9443,9400,9498
E Bay Point Rd,600,798,601,799
E Laramie Ln,400,498,401,499
N Lake Dr,9325,9399,9362,9398
E Brown Deer Rd,1300,1798,1301,1799
E Brown Deer Rd,1200,1298,1201,1299
N Lake Dr,8601,8699,8566,8642
E Hermitage Rd,1400,1498,1401,1499
E Crocker Pl,900,1098,901,1099
N Rexleigh Dr,8901,8947,8900,8920
E Glencoe Pl,500,698,501,699
E Standish Pl,700,798,701,799
E Wahner Pl,700,798,701,799
E Manor Cir,1000,1088,1001,1089
N Pelham Pkwy,9101,9125,9100,9142
E Fairy Chasm Rd,1000,1098,1001,1029
E Glencoe Pl,900,998,901,999
N Pelham Pkwy,8701,8799,8700,8798
E Wahner Pl,900,998,901,999
E Wahner Pl,1000,1098,1001,1099
N Fielding Rd,8401,8499,8400,8498
N Fielding Rd,9091,9099,9078,9098
E Manor Cir,1100,1198,1101,1199
E Manor Cir,1200,1298,,
I- 43,9501,9583,9500,9582
As Penwood Ct,601,699,600,698
W Cumberland Ct,547,501,,
N Regent Rd,9445,9539,,
W Pelican Ln,3801,3999,3800,3998
W Bradley Rd,3301,3699,3198,3698
W Floral Ln,6501,6699,6500,6698
N 65th St,9301,9351,9300,9350
W Cloverleaf Ln,6001,6099,6000,6098
N Bethanne Dr,,,9352,9398
W Fairy Chasm Rd,5901,5999,5900,5998
N 67th St,8181,8399,8180,8398
W Range Ave,5901,5999,5882,5998
W Betty Ln,5601,5899,5600,5898
W Donna Dr,6301,6399,6300,6398
N Edge O Woods Dr,8185,8399,8176,8398
N Grandview Dr,8389,8399,8372,8398
W Darnel Ave,6501,6599,6500,6598
N Ivy St,8261,8337,8254,8348
W Goodrich Ln,6401,6469,6400,6498
N 61st St,8185,8249,8180,8248
W Goodrich Ln,6001,6199,6100,6198
N 60th St,8377,8399,8300,8398
N 60th St,8901,9199,8900,9198
W Joleno Ln,4801,5099,4900,5098
N 49th St,9401,9599,9500,9598
W Schroeder Dr,,,4199,4101
N Alpine Ln,9001,9199,9000,9198
N Surf Ct,9101,9199,9100,9198
W Brown Deer Rd,5601,5999,5600,5998
W Brown Deer Rd,4501,4801,4500,4800
N 57th St,8435,8499,8456,8498
W Brown Deer Rd,5201,5499,5200,5498
N Green Bay Rd,8801,8847,,
N 46th St,8501,8599,8500,8598
N 54th St,8541,8639,8542,8632
N 52nd St,8401,8449,8406,8444
N 55th St,8001,8049,8000,8048
N 55th St,8347,8399,8336,8398
W Nokomis Rd,5201,5299,5200,5298
N 55th St,8051,8099,8050,8132
W Churchill Ln,5135,5299,5200,5298
N 54th St,,,8162,8178
54th St,8001,8023,8000,8018
N 43rd St,8601,8799,8600,8798
W Terry Ave,4598,4500,4599,4501
N 47th St,8001,8047,8000,8070
W Tower Ave,4501,4699,4500,4698
N 47th St,8137,8199,8144,8170
N Green Bay Rd,8435,8465,8434,8464
W Calumet Rd,3751,3799,3750,3798
N Sherman Blvd,7947,7999,,
W Parkland Ave,3901,4299,3900,4298
N 48th St,7601,7633,7600,7632
N 44th St,7701,7749,7702,7720
N 44th St,7601,7699,7600,7700
N 52nd St,9501,9599,9500,9598
W Glenbrook Rd,5201,5499,5250,5498
N Carlotta Ln,9403,9499,,
W River Ln,4401,4499,4400,4498
N 51st St,,,8000,8024
W Rivers Edge Cir,4001,4161,4292,4298
N 60th St,9377,9399,,
Woods Cir,9448,9400,9437,9401
N 67th St,9201,9299,9200,9298
W Pierner Pl,6101,6799,6100,6698
